code_parametre;cas;ppp_usage;ppp_usages_typiques;statut_ue;date_expiration;autorisation_france;mentions;pnec_ugl;mentions_danger
1359;121552-61-2;fongicide;"Orge, Trt Part.Aer., Helminthosporiose et ramulariose; Orge, Trt Part.Aer., Rhynchosporiose; Blé, Trt Part.Aer., Piétin verse; Arbres et arbustes, Trt Part.Aer., Maladies diverses (1); Asperge, Trt Part.Aer., Maladies des taches brunes; Asperge, Trt Part.Aer., Pourriture grise et sclérotinioses; Carotte, Trt Part.Aer., Maladies des taches brunes; Carotte, Trt Part.Aer., Pourriture grise et sclérotinioses";Approuvée;2026-10-31;Oui;candidat à la substitution;0.5;H317 H400 H410
7801;221667-31-8;autre;Maïs, Désherbage;;;;;467.0;H351 H412
2897;66215-27-8;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2019-12-31;;;;
5597;1596-84-5;régulateur de croissance;Cultures florales et plantes vertes, Trt Part.Aer., Régul. Croiss. Org. Aériens;Approuvée;2026-09-15;Oui;;755.0;H351
1869;533-74-4;herbicide;"Cultures légumières, Trt Sol, Nématodes; Cultures ornementales, Trt Sol, Champignons (autres que pythiacées); Vigne, Trt Sol, Nématodes; Tabac, Trt Sol, Nématodes; Tabac, Trt Sol, Champignons (pythiacées); Traitements généraux, Désherbage, Intercultures, jachères et destruction de cult; Gazons de graminées, Trt Sol, Nématodes; Traitements généraux, Destruction des couverts et repousses dans les cultures";Approuvée;2026-08-31;Oui;;3.0;H302 H319 H400 H410
1149;52918-63-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Approuvée;2026-08-15;Oui;biocontrôle;0.0032;H301 H331 H400 H410
2980;13684-56-5;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
1157;333-41-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
1480;1918-00-9;herbicide;"JEVI, Désherb. Total (1); JEVI, Désherbage, All. PJT, Cimet., Voies (1); JEVI, Désherb. Total, Sites industriels et autres infrastructures; JEVI, Désherbage, Voies ferrées; JEVI, Désherbage, PJT; Jachères et cultures intermédiaires, Trt Part.Aer., Limit. Pousse Fructif.; Maïs, Désherbage; Prairies, Désherbage";Approuvée;2027-03-31;Oui;;45.0;H302 H318 H412
1679;1194-65-6;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
2929;37764-25-3;autre;"Autre usage phytopharmaceutique ; consulter e-phy/INRS pour le détail.";;;;;;
2544;15165-67-0;herbicide;"Agrumes, Trt Part.Aer., Act. Qual. Fruits; Traitements généraux, Dévital. Broussailles (1); Forêt, Désherbage, Avt Plantation; Gazons de graminées, Désherbage; JEVI, Débroussaillage (1)";Approuvée;2026-10-31;Oui;;100.0;H302 H315 H317 H318
1170;62-73-7;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
1171;51338-27-3;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2026-08-31;Non;candidat à la substitution;;H302 H317 H400 H410
1172;115-32-2;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
2982;56073-07-5;rodenticide;Lutte contre les rongeurs (bâtiments agricoles, stockages, etc.).;Non approuvée;2019-12-30;;candidat à la substitution;;
1905;119446-68-3;fongicide;"Betterave industrielle et fourragère, Trt Part.Aer., Maladies du feuillage; Vigne, Trt Part.Aer., Black rot; Pêcher - Abricotier, Trt Part.Aer., Oïdium(s); Asperge, Trt Part.Aer., Rouille(s); Lin, Trt Part.Aer., Oïdium(s); Porte graine - Légumineuses fourragères, Trt Part.Aer., Rouille(s); Porte graine, Trt Part.Aer., Maladies diverses; Betterave potagère, Trt Part.Aer., Maladies des taches brunes";Approuvée;2026-03-15;Oui;candidat à la substitution;0.36;H302 H319 H351 H400 H410
2983;104653-34-1;rodenticide;Lutte contre les rongeurs (bâtiments agricoles, stockages, etc.).;Non approuvée;;;;;
1488;35367-38-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2020-12-31;;;;
1814;83164-33-4;herbicide;"Orge, Désherbage; Seigle, Désherbage; Blé, Désherbage; Pomme de terre, Désherbage; JEVI, Désherb. Total (1); JEVI, Désherbage, Voies ferrées; JEVI, Désherbage, PJT; JEVI, Désherb. Total, Sites industriels et autres infrastructures";Approuvée;2026-01-15;Oui;candidat à la substitution;0.051;H400 H410
2546;50563-36-5;herbicide;Crucifères oléagineuses, Désherbage;Approuvée;2026-10-15;Oui;;6.58;H302 H317 H400 H410
